id;street_address;postal_code;city;state_province
1;Osmium;embellished backing;雲林市;interface pish interactive
2;Kuwait;kindly definition Hassium;新北縣;Northwest spear youthfully
3;median orange orange;pink wherever;高雄縣;read
4;Borders;sow;臺東市;Consultant
5;Garland Oriental;withdrawal Neon;澎湖縣;Chair remorseful gosh
6;Park Corporate Bicycle;off Cadillac;宜蘭市;Avon encryption
7;Incredible;Account;臺中縣;West
8;remortgage;male indexing capacitor;高雄市;intelligent navigate
9;live Security 台灣省;bah;新北市;Baby programming
10;male;overriding;澎湖市;Borders
